epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77488,1.17951,3.01499,1.41307,0.61198,0.86199,0.88778,0.62113,1.39178,1.33117,1.24621,0,0,0
2,7.23699,1.37688,2.96491,1.6589,0.60368,0.87956,0.88807,0.61531,1.40192,1.34856,1.25019,7.973e-07,7.973e-07,7.973e-07
3,10.9025,1.46333,2.39886,1.80586,0.5915,0.87576,0.8879,0.61746,1.43072,1.37112,1.26933,8.092e-07,8.092e-07,8.092e-07
